,Carbon_Price,Total_Emissions,Total_Abated_Tons_Step,Total_Abated_Tons_Cumulative,Total_Production,Total_Annual_Emissions,Total_Annual_Production,Market_Volume,Price_Volatility,Compliance_Rate,Average_Profit,Total_Transactions,Market_Depth,Buy_Orders,Sell_Orders,Price_Spread,market_stability_reserve_fund,market_stability_reserve_credits
11,6850.903970949613,277719585.5070001,0.0,38999987.85,488815991.09999996,3481446607.241997,5865791893.373518,0.0,0.019302095751306255,0.46534653465346537,-8011343486.296826,0,1688,1687,1,0.6285876660557537,1000000.0,1000.0
12,7174.752993443337,277719585.507,0.0,38999987.85,488815991.1000001,277719585.507,488815991.1000001,0.0,0.01858650247820925,0.46534653465346537,-8360904006.363644,0,1737,1735,2,0.6124614418936647,1000000.0,1000.0
13,7514.158156044881,277719585.50699997,0.0,38999987.85,488815991.1000001,555439171.0139999,977631982.2000002,200.0,0.017946571408175113,0.46534653465346537,-8731505415.790392,1,1784,1783,1,0.5953685674984633,2562611.9293146236,800.0
14,7869.850822536177,277719585.5070002,0.0,38999987.85,488815991.09999996,833158756.5210001,1466447973.3000007,0.0,0.017369781638827377,0.46534653465346537,-9137193141.335066,1,1832,1831,1,0.5766563896075786,2562611.9293146236,800.0
15,8242.599472376734,277719585.50700015,0.0,38999987.85,488815991.09999985,1110878342.0280006,1955263964.3999994,0.0,0.01684633974667874,0.46534653465346537,-9562085986.412233,1,1880,1879,1,0.5570644520716581,2562611.9293146236,800.0
16,8633.211004216633,277719585.507,0.0,38999987.85,488815991.0999997,1388597927.5349996,2444079955.5,0.0,0.01636845960419705,0.46534653465346537,-10007278270.189587,1,1928,1927,1,0.5365524503425634,2562611.9293146236,800.0
17,9042.532228959477,277719585.50700027,0.0,38999987.85,488815991.09999996,1666317513.042001,2932895946.6000004,0.0,0.01592986194664619,0.46534653465346537,-10473571973.688425,1,1976,1975,1,0.5145838423646287,2562611.9293146236,800.0
18,9471.451522260495,277719585.5070001,0.0,38999987.85,488815991.0999998,1944037098.5490003,3421711937.7000003,0.0,0.015525418559048636,0.46534653465346537,-10961955817.0659,1,2024,2023,1,0.4916069349911796,2562611.9293146236,800.0
19,9920.90061840731,277719585.5070001,0.0,38999987.85,488815991.09999985,2221756684.0560007,3910527928.7999988,0.0,0.01515089412447926,0.46534653465346537,-11473181691.665218,1,2072,2071,1,0.46802492098108833,2562611.9293146236,800.0
20,10391.856535077684,277719585.50700015,0.0,38999987.85,488815991.09999996,2499476269.562999,4399343919.900001,0.0,0.014802755539861422,0.46534653465346537,-12008486905.542698,1,2120,2119,1,0.4433383790445399,2562611.9293146236,800.0
21,10885.34362335514,277719585.5070001,0.0,38999987.85,488815991.09999996,2777195855.069999,4888159911.0,0.0,0.01447802879271215,0.46534653465346537,-12569229674.73653,1,2168,2167,1,0.4174960170463393,2562611.9293146236,800.0
22,11402.435740655541,277719585.5070001,0.0,38999987.85,488815991.0999999,3054915440.5770016,5376975902.1,0.0,0.014174189978398366,0.7623762376237624,-13156656877.059992,1,2216,2215,1,0.3904440997278324,2562611.9293146236,800.0
23,11944.258546484758,277719585.5070001,0.0,38999987.85,488815991.1,3332635026.0840015,5865791893.199994,0.0,0.013889081227265603,0.7623762376237624,-13771962089.612995,1,2264,2263,1,0.36212634247022135,2562611.9293146236,800.0
